CityName,Latitude,Longitude,S/L Ratio
Chesapeake,36.7085,-76.278531,0.981095421
Blacksburg,37.174227,-80.395698,1
Roanoke,37.274175,-79.95786,0.979700371
Richmond,37.524246,-77.493157,0.977657546
Arlington,38.880811,-77.11295,1
Suffolk,36.84882,-76.46521,0.984957343
Richmond,37.389721,-77.561266,0.977657546
Richmond,37.621745,-77.48896,0.977657546
Norfolk,36.931166,-76.23972,0.972762646
Lynchburg,37.245798,-79.133546,0.971775634
Colonial Heights,37.265403,-77.40438,0.968856008
Alexandria,38.815762,-77.09005,1
Newport News,38.112139,-77.329674,0.973333333
Lynchburg,37.400275,-79.12597,0.971775634
Fredericksburg,38.387261,-77.54676,0.976947233
Norfolk,36.852547,-76.29028,0.972762646
Hampton,37.072658,-76.38992,0.97665555
Culpeper,38.459521,-77.99875,0.963076923
Norfolk,36.870197,-76.29271,0.972762646
Hampton,37.072658,-76.38992,0.97665555
Charlottesville,38.072402,-78.50149,0.957020057
Moseley,37.422868,-77.7813,0.937190429
Richmond,37.507498,-77.332916,0.977657546
Roanoke,37.258787,-79.97816,0.979700371
Alexandria,38.774863,-77.0593,1
Yorktown,37.178417,-76.46751,0.971647712
Mount Vernon,38.830912,-77.432252,1
Locust Grove,38.326624,-77.76987,0.985492746
Portsmouth,36.868553,-76.355165,0.952432127
Norfolk,36.859362,-76.27028,0.972762646
Richmond,37.606778,-77.44775,0.977657546
Alexandria,38.829512,-77.08204,1
Richmond,37.524246,-77.493157,0.977657546
Herndon,38.831813,-77.288755,0.984108392
Virginia Beach,36.795669,-76.012628,0.980645998
Charlottesville,38.07735,-78.42042000000001,0.957020057
Roanoke,37.274175,-79.95786,0.979700371
Warrenton,38.707135,-77.8145,0.983177777
Blacksburg,37.232027,-80.42127,1
Alexandria,38.815762,-77.09005,1
Richmond,37.580346,-77.48831,0.977657546
Portsmouth,36.803981,-76.32386,0.952432127
Roanoke,37.274175,-79.95786,0.979700371
Spotsylvania,38.207275,-77.64378,0.975700677
Fredericksburg,38.298305,-77.489913,0.976947233
Richmond,37.549446,-77.451155,0.977657546
Martinsville,36.679571,-79.865168,0.955040044
Herndon,38.831813,-77.288755,0.984108392
Yorktown,37.227904,-76.51278,0.971647712
Bristol,36.761613,-81.968712,0.936363636
Hampton,37.050946,-76.40711,0.97665555
Hampton,37.072658,-76.38992,0.97665555
Portsmouth,36.835215,-76.3457,0.952432127
Suffolk,36.871628,-76.56063,0.984957343
Norfolk,36.931166,-76.23972,0.972762646
Waynesboro,38.076547,-78.89839,0.966666667
Springfield,38.745164,-77.23535,0.987432675
Roanoke,37.274175,-79.95786,0.979700371
Haymarket,38.860551,-77.64947,0.984439505
Arlington,38.903697,-77.12749,1
Falls Church,38.886311,-77.18098,1
Charlottesville,38.040101,-78.485066,0.957020057
Fredericksburg,38.301829,-77.47077,0.976947233
Herndon,38.977109,-77.38527,0.984108392
Springfield,38.831813,-77.288755,0.987432675
Fredericksburg,38.417273,-77.460814,0.976947233
Waynesboro,38.058102,-78.878493,0.966666667
Chesapeake,36.757815,-76.3358,0.981095421
Harrisonburg,38.477752,-78.86302,0.967105347
Charlottesville,38.040101,-78.485066,0.957020057
Harrisonburg,38.440898,-78.874173,0.967105347
Roanoke,37.274175,-79.95786,0.979700371
Bristol,36.761613,-81.968712,0.936363636
Lynchburg,37.242503,-79.109789,0.971775634
Richmond,37.520187,-77.408359,0.977657546
Glen Allen,37.531296,-77.416103,0.979612771
Herndon,38.831813,-77.288755,0.984108392
Virginia Beach,36.847388,-76.15581,0.980645998
Charlottesville,38.040101,-78.485066,0.957020057
Roanoke,37.272186,-79.95321,0.979700371
Roanoke,37.274175,-79.95786,0.979700371
Roanoke,37.274175,-79.95786,0.979700371
Reston,38.831813,-77.288755,0.982142857
Troutville,37.427597,-79.90595,0.959896694
Chesapeake,36.761698,-76.24511,0.981095421
Chesapeake,36.687543,-76.22905,0.981095421
Reston,38.831813,-77.288755,0.982142857
Hampton,37.005814,-76.38316,0.97665555
Purcellville,39.146479,-77.72798,0.985598046
Alexandria,38.803142,-77.072679,1
Lynchburg,37.400944,-79.178506,0.971775634
Falls Church,38.901311,-77.19777,1
Alexandria,38.728464,-77.05701,1
Virginia Beach,36.851243,-76.169215,0.980645998
Bristol,36.606582,-82.18087,0.936363636
Richmond,37.524246,-77.493157,0.977657546
Lynchburg,37.400944,-79.178506,0.971775634
Arlington,38.880811,-77.11295,1
Virginia Beach,36.795669,-76.012628,0.980645998
Leesburg,39.138978,-77.54519,1
Richmond,37.524246,-77.493157,0.977657546
Leesburg,39.158095,-77.666863,1
Hopewell,37.287869,-77.29359,1
Haymarket,38.721912,-77.466897,0.984439505
Woodbridge,38.678451,-77.30657,0.989316788
Virginia Beach,36.864788,-76.00098,0.980645998
Chesterfield,37.405699,-77.5838,0.987306065
Hampton,37.031474,-76.31637,0.97665555
Roanoke,37.274175,-79.95786,0.979700371
Centreville,38.831813,-77.288755,0.989399293
Richmond,37.524246,-77.493157,0.977657546
Richmond,37.524246,-77.493157,0.977657546
Suffolk,36.894736,-76.51281,0.984957343
Virginia Beach,36.843948,-76.142407,0.980645998
Reston,38.977362,-77.34658,0.982142857
Richmond,37.524246,-77.493157,0.977657546
Reston,38.831813,-77.288755,0.982142857
Winchester,39.267257,-78.19396,0.961038961
Richmond,37.524246,-77.493157,0.977657546
Norfolk,36.931166,-76.23972,0.972762646
Chesapeake,36.814897,-76.23848,0.981095421
Midlothian,37.51338,-77.64165,0.975609756
Fairfax,38.831813,-77.288755,0.985731589
Smithfield,36.978861,-76.63973,0.987951807
Roanoke,37.274175,-79.95786,0.979700371
Mechanicsville,37.605641,-77.31536,0.97412481
Mechanicsville,37.662559,-77.36778,0.97412481
Arlington,38.893241,-77.07453,1
Stafford,38.460395,-77.43266,0.986486486
Springfield,38.775716,-77.23131,0.987432675
Triangle,38.557527,-77.35726,0.998356207
Alexandria,38.819863,-77.05854,1
Staunton,38.159275,-79.062858,0.958339263
Richmond,37.633316,-77.54775,0.977657546
McLean,38.831813,-77.288755,0.9375
Arlington,38.880811,-77.11295,1
Richmond,37.531296,-77.416103,0.977657546
Newport News,37.019453,-76.43651,0.973333333
Newport News,37.195924,-76.524805,0.973333333
Williamsburg,37.322936,-76.75793,0.96560049
Yorktown,37.257932,-76.56076,0.971647712
Portsmouth,36.810448,-76.36811,0.952432127
Roanoke,37.274175,-79.95786,0.979700371
Roanoke,37.274175,-79.95786,0.979700371
Sterling,39.011909,-77.39295,0.99090834
Fairfax,38.821753,-77.29293,0.985731589
Winchester,39.158386,-78.24758,0.961038961
Richmond,37.482896,-77.36304,0.977657546
Arlington,38.856623,-77.051788,1
Richmond,37.573595,-77.42504,0.977657546
Alexandria,38.815762,-77.09005,1
Arlington,38.880811,-77.11295,1
Arlington,38.88275,-77.13999,1
Richmond,37.581696,-77.51709,0.977657546
Newport News,37.195924,-76.524805,0.973333333
Manassas,38.769697,-77.44915,0.987341772
Sterling,39.004276,-77.43442,0.99090834
Palmyra,37.871021,-78.30837,0.953858703
Arlington,38.883358,-77.10281,1
Carrollton,36.940626,-76.5378,0.966666667
Richmond,37.541046,-77.43536,0.977657546
Roanoke,37.269168,-79.939905,0.979700371
Leesburg,39.072918,-77.608014,1
Roanoke,37.555083,-79.786151,0.979700371
Rose Hill,36.65364,-83.34736,0.995634841
Richmond,37.524246,-77.493157,0.977657546
Virginia Beach,36.837598,-76.026053,0.980645998
Sterling,39.085309,-77.645224,0.99090834
Martinsville,36.679571,-79.865168,0.955040044
Falls Church,38.831813,-77.288755,1
Smithfield,36.898915,-76.687745,0.987951807
Richmond,37.561962,-77.425452,0.977657546
Richmond,37.524246,-77.493157,0.977657546
Virginia Beach,36.839209,-76.09333,0.980645998
Powhatan,37.55563,-77.90048,0.960465116
Richmond,37.733844,-77.888082,0.977657546
Arlington,38.880811,-77.11295,1
Roanoke,37.274175,-79.95786,0.979700371
Springfield,38.831813,-77.288755,0.987432675
Fredericksburg,38.271028,-77.5559,0.976947233
Richmond,37.457341,-77.4658,0.977657546
Norfolk,36.931166,-76.23972,0.972762646
Radford,37.122583,-80.562913,0.968008185
Danville,36.622638,-79.39998,0.940298507
Charlottesville,38.040101,-78.485066,0.957020057
Norfolk,36.931166,-76.23972,0.972762646
