title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Blacksburg,VA,24060,"$589,000","4 bds, 4.0 ba ,3550 sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/603-Floyd-St-Blacksburg-VA-24060/79173508_zpid/
For sale by owner,,Blacksburg,VA,24060,"$380,000","4 bds, 3.0 ba ,2744 sqft",,https://www.zillow.com/homedetails/1415-Craig-Creek-Rd-Blacksburg-VA-24060/247167975_zpid/
House for sale,,Blacksburg,VA,24060,"$1,450,000","4 bds, 5.0 ba ,4243 sqft",Long & Foster-Blacksburg,https://www.zillow.com/homedetails/1240-Nellies-Cave-Rd-Blacksburg-VA-24060/220277236_zpid/
House for sale,,Blacksburg,VA,24060,"$239,900","3 bds, 3.0 ba ,2048 sqft",Nest Realty SWVA,https://www.zillow.com/homedetails/3625-Mount-Zion-Rd-Blacksburg-VA-24060/79173360_zpid/
For sale by owner,,Blacksburg,VA,24060,"$225,000","4 bds, 4.0 ba ,1800 sqft",,https://www.zillow.com/homedetails/1906-Sussex-Rd-Blacksburg-VA-24060/94147533_zpid/
Townhouse for sale,,Blacksburg,VA,24060,"$389,900","3 bds, 3.0 ba ,2200 sqft",Nest Realty SWVA,https://www.zillow.com/homedetails/1612-Honeysuckle-Dr-Blacksburg-VA-24060/94144311_zpid/
For sale by owner,,Blacksburg,VA,24060,"$35,000","3 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/4917-Norris-Run-Rd-Blacksburg-VA-24060/220274957_zpid/
House for sale,,Blacksburg,VA,24060,"$264,900","3 bds, 3.0 ba ,1844 sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/2516-Blossom-Trl-W-Blacksburg-VA-24060/220275507_zpid/
House for sale,,Blacksburg,VA,24060,"$489,000","4 bds, 3.0 ba ,3008 sqft","Porch & Picket Real Estate, Inc.",https://www.zillow.com/homedetails/590-Brush-Mountain-Rd-Blacksburg-VA-24060/94146457_zpid/
House for sale,,Blacksburg,VA,24060,"$295,000","4 bds, 3.0 ba ,2092 sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/2004-Scott-Dr-Blacksburg-VA-24060/79169315_zpid/
