Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint,
23328;Chesapeake;VA;36.7085;-76.278531;-5;1;36.7085,-76.278531
24062;Blacksburg;VA;37.174227;-80.395698;-5;1;37.174227,-80.395698
24008;Roanoke;VA;37.274175;-79.95786;-5;1;37.274175,-79.95786
23176;Wake;VA;37.571789;-76.41631;-5;1;37.571789,-76.41631
24620;Hurley;VA;37.409883;-82.02317;-5;1;37.409883,-82.02317
24292;Whitetop;VA;36.59565;-81.59154;-5;1;36.59565,-81.59154
23290;Richmond;VA;37.524246;-77.493157;-5;1;37.524246,-77.493157
23486;Willis Wharf;VA;37.518917;-75.810482;-5;1;37.518917,-75.810482
24069;Cascade;VA;36.586545;-79.64194;-5;1;36.586545,-79.64194
22218;Arlington;VA;38.880811;-77.11295;-5;1;38.880811,-77.11295
24324;Draper;VA;36.973028;-80.79309;-5;1;36.973028,-80.79309
23435;Suffolk;VA;36.84882;-76.46521;-5;1;36.84882,-76.46521
24550;Evington;VA;37.237928;-79.28268;-5;1;37.237928,-79.28268
23178;Ware Neck;VA;37.400287;-76.46089;-5;1;37.400287,-76.46089
24605;Bluefield;VA;37.222548;-81.3367;-5;1;37.222548,-81.3367
23101;Macon;VA;37.553314;-77.892964;-5;1;37.553314,-77.892964
23297;Richmond;VA;37.389721;-77.561266;-5;1;37.389721,-77.561266
23025;Cardinal;VA;37.422209;-76.37304;-5;1;37.422209,-76.37304
23228;Richmond;VA;37.621745;-77.48896;-5;1;37.621745,-77.48896
23541;Norfolk;VA;36.931166;-76.23972;-5;1;36.931166,-76.23972
24513;Lynchburg;VA;37.245798;-79.133546;-5;1;37.245798,-79.133546
22720;Goldvein;VA;38.474222;-77.64361;-5;1;38.474222,-77.64361
23191;Zanoni;VA;37.418242;-76.508402;-5;1;37.418242,-76.508402
23834;Colonial Heights;VA;37.265403;-77.40438;-5;1;37.265403,-77.40438
23839;Dendron;VA;37.079298;-76.92155;-5;1;37.079298,-76.92155
22454;Dunnsville;VA;37.854791;-76.81298;-5;1;37.854791,-76.81298
24639;Raven;VA;37.136584;-81.89068;-5;1;37.136584,-81.89068
23487;Windsor;VA;36.828408;-76.73506;-5;1;36.828408,-76.73506
22334;Alexandria;VA;38.815762;-77.09005;-5;1;38.815762,-77.09005
22606;Newport News;VA;38.112139;-77.329674;-5;1;38.112139,-77.329674
22640;Huntly;VA;38.808303;-78.13578;-5;1;38.808303,-78.13578
22748;Wolftown;VA;38.372652;-78.380509;-5;1;38.372652,-78.380509
23398;Jamesville;VA;37.534336;-75.877052;-5;1;37.534336,-75.877052
23941;Fort Mitchell;VA;36.948129;-78.248333;-5;1;36.948129,-78.248333
24504;Lynchburg;VA;37.400275;-79.12597;-5;1;37.400275,-79.12597
22959;North Garden;VA;37.935994;-78.64088;-5;1;37.935994,-78.64088
22649;Middletown;VA;39.004774;-78.247806;-5;1;39.004774,-78.247806
23177;Walkerton;VA;37.728152;-76.99901;-5;1;37.728152,-76.99901
23140;Providence Forge;VA;37.438569;-77.03578;-5;1;37.438569,-77.03578
22406;Fredericksburg;VA;38.387261;-77.54676;-5;1;38.387261,-77.54676
24431;Crimora;VA;38.167914;-78.84222;-5;1;38.167914,-78.84222
23510;Norfolk;VA;36.852547;-76.29028;-5;1;36.852547,-76.29028
