CityName,Latitude,Longitude,S/L Ratio
Virginia Beach,36.7085,-76.278531,0.980645998
Norfolk,37.174227,-80.395698,0.972762646
Chesapeake,37.274175,-79.95786,0.981095421
Arlington,37.524246,-77.493157,1
Richmond,38.880811,-77.11295,0.977657546
Woodbridge,36.84882,-76.46521,0.989316788
Fredericksburg,37.389721,-77.561266,0.976947233
Roanoke,37.621745,-77.48896,0.979700371
Newport News,36.931166,-76.23972,0.973333333
Fairfax,37.245798,-79.133546,0.985731589
Henrico,37.265403,-77.40438,0.99193245
Alexandria,38.815762,-77.09005,1
Hampton,38.112139,-77.329674,0.97665555
Falls Church,37.400275,-79.12597,1
Charlottesville,38.387261,-77.54676,0.957020057
Manassas,36.852547,-76.29028,0.987341772
Springfield,37.072658,-76.38992,0.987432675
Lynchburg,38.459521,-77.99875,0.971775634
Portsmouth,36.870197,-76.29271,0.952432127
Midlothian,37.072658,-76.38992,0.975609756
Ashburn,38.072402,-78.50149,1
Sterling,37.422868,-77.7813,0.99090834
Williamsburg,37.507498,-77.332916,0.96560049
Herndon,37.258787,-79.97816,0.984108392
Leesburg,38.774863,-77.0593,1
Suffolk,37.178417,-76.46751,0.984957343
Stafford,38.830912,-77.432252,0.986486486
Winchester,38.326624,-77.76987,0.961038961
Glen Allen,36.868553,-76.355165,0.979612771
Harrisonburg,36.859362,-76.27028,0.967105347
Centreville,37.606778,-77.44775,0.989399293
Vienna,38.829512,-77.08204,0.975213068
Reston,37.524246,-77.493157,0.982142857
Mechanicsville,38.831813,-77.288755,0.97412481
Annandale,36.795669,-76.012628,0.990545813
Petersburg,38.07735,-78.42042000000001,0.974468085
Danville,37.274175,-79.95786,0.940298507
Blacksburg,38.707135,-77.8145,1
Chantilly,37.232027,-80.42127,0.995203837
McLean,38.815762,-77.09005,0.9375
Chesterfield,37.580346,-77.48831,0.987306065
Chester,36.803981,-76.32386,0.985287672
Yorktown,37.274175,-79.95786,0.971647712
Burke,38.207275,-77.64378,0.988538911
Salem,38.298305,-77.489913,0.965400299
Staunton,37.549446,-77.451155,0.958339263
Lorton,36.679571,-79.865168,0.995943205
Mount Vernon,38.831813,-77.288755,1
Spotsylvania,37.227904,-76.51278,0.975700677
Gainesville,36.761613,-81.968712,0.986486468
Culpeper,37.050946,-76.40711,0.963076923
Waynesboro,37.072658,-76.38992,0.966666667
Martinsville,36.835215,-76.3457,0.955040044
Front Royal,36.871628,-76.56063,0.957416405
Warrenton,36.931166,-76.23972,0.983177777
Bristol,38.076547,-78.89839,0.936363636
Hopewell,38.745164,-77.23535,1
Abingdon,37.274175,-79.95786,0.956060645
Christiansburg,38.860551,-77.64947,0.996085254
Colonial Heights,38.903697,-77.12749,0.968856008
Bristow,38.886311,-77.18098,1
Dumfries,38.040101,-78.485066,0.987012987
Powhatan,38.301829,-77.47077,0.960465116
Radford,38.977109,-77.38527,0.968008185
Forest,38.831813,-77.288755,0.984707744
Groveton,38.417273,-77.460814,1.005208333
King George,38.058102,-78.878493,0.984122317
Haymarket,36.757815,-76.3358,0.984439505
Gloucester,38.477752,-78.86302,0.993385481
Rocky Mount,38.040101,-78.485066,0.940313438
Stephens City,38.440898,-78.874173,0.993548387
Ashland,37.274175,-79.95786,0.97915762
Oakton,36.761613,-81.968712,0.976591512
Bedford,37.242503,-79.109789,0.925373134
Palmyra,37.520187,-77.408359,0.953858703
Great Falls,37.531296,-77.416103,0.934674532
Vinton,38.831813,-77.288755,0.984448839
Purcellville,36.847388,-76.15581,0.985598046
Bon Air,38.040101,-78.485066,0.990909091
Rose Hill,37.272186,-79.95321,0.995634841
Smithfield,37.274175,-79.95786,0.987951807
Madison Heights,37.274175,-79.95786,0.966292616
Lincolnia,38.831813,-77.288755,1
Manassas Park,37.427597,-79.90595,0.987755102
Ruther Glen,36.761698,-76.24511,0.977777778
Clifton,36.687543,-76.22905,0.985611511
East Highland Park,38.831813,-77.288755,0.975268231
Aldie,37.005814,-76.38316,0.989070422
Locust Grove,39.146479,-77.72798,0.985492746
Fort Hunt,38.803142,-77.072679,0.972668527
Tuckahoe,37.400944,-79.178506,0.970245796
Triangle,38.901311,-77.19777,0.998356207
Sandston,38.728464,-77.05701,0.98041193
Lakeside,36.851243,-76.169215,0.955779223
Moneta,36.606582,-82.18087,0.963720428
Troutville,37.524246,-77.493157,0.959896694
Hayes,37.400944,-79.178506,0.965362319
Ruckersville,38.880811,-77.11295,1
Strasburg,36.795669,-76.012628,0.971046771
Highland Springs,39.138978,-77.54519,1
Colonial Beach,37.524246,-77.493157,0.952116402
Carrollton,39.158095,-77.666863,0.966666667
Moseley,37.287869,-77.29359,0.937190429
Toano,38.721912,-77.466897,0.946868687
Bealeton,38.678451,-77.30657,0.988237619
Aylett,36.864788,-76.00098,0.972332291
Belle Haven,37.405699,-77.5838,0.967741935
Marshall,37.031474,-76.31637,0.898185328
Huddleston,37.274175,-79.95786,0.918004994
