CityName,Ratio
Virginia Beach,0.980645998
Norfolk,0.972762646
Chesapeake,0.981095421
Arlington,1
Richmond,0.977657546
Woodbridge,0.989316788
Fredericksburg,0.976947233
Roanoke,0.979700371
Newport News,0.973333333
Fairfax,0.985731589
Henrico,0.99193245
Alexandria,1
Hampton,0.97665555
Falls Church,1
Charlottesville,0.957020057
Manassas,0.987341772
Springfield,0.987432675
Lynchburg,0.971775634
Portsmouth,0.952432127
Midlothian,0.975609756
Ashburn,1
Sterling,0.99090834
Williamsburg,0.96560049
Herndon,0.984108392
Leesburg,1
Suffolk,0.984957343
Stafford,0.986486486
Winchester,0.961038961
Glen Allen,0.979612771
Harrisonburg,0.967105347
Centreville,0.989399293
Vienna,0.975213068
Reston,0.982142857
Mechanicsville,0.97412481
Annandale,0.990545813
Petersburg,0.974468085
Danville,0.940298507
Blacksburg,1
Chantilly,0.995203837
McLean,0.9375
Chesterfield,0.987306065
Chester,0.985287672
Yorktown,0.971647712
Burke,0.988538911
Salem,0.965400299
Staunton,0.958339263
Lorton,0.995943205
Mount Vernon,1
Spotsylvania,0.975700677
Gainesville,0.986486468
Culpeper,0.963076923
Waynesboro,0.966666667
Martinsville,0.955040044
Front Royal,0.957416405
Warrenton,0.983177777
Bristol,0.936363636
Hopewell,1
Abingdon,0.956060645
Christiansburg,0.996085254
Colonial Heights,0.968856008
Bristow,1
Dumfries,0.987012987
Powhatan,0.960465116
Radford,0.968008185
Forest,0.984707744
Groveton,1.005208333
King George,0.984122317
Haymarket,0.984439505
Gloucester,0.993385481
Rocky Mount,0.940313438
Stephens City,0.993548387
Ashland,0.97915762
Oakton,0.976591512
Bedford,0.925373134
Palmyra,0.953858703
Great Falls,0.934674532
Vinton,0.984448839
Purcellville,0.985598046
Bon Air,0.990909091
Rose Hill,0.995634841
Smithfield,0.987951807
Madison Heights,0.966292616
Lincolnia,1
Manassas Park,0.987755102
Ruther Glen,0.977777778
Clifton,0.985611511
East Highland Park,0.975268231
Aldie,0.989070422
Locust Grove,0.985492746
Fort Hunt,0.972668527
Tuckahoe,0.970245796
Triangle,0.998356207
Sandston,0.98041193
Lakeside,0.955779223
Moneta,0.963720428
Troutville,0.959896694
Hayes,0.965362319
Ruckersville,1
Strasburg,0.971046771
Highland Springs,1
Colonial Beach,0.952116402
Carrollton,0.966666667
Moseley,0.937190429
Toano,0.946868687
Bealeton,0.988237619
Aylett,0.972332291
Belle Haven,0.967741935
Marshall,0.898185328
Huddleston,0.918004994
